text
"numpy_an_example Basic functions #an-example  An example  "
"numpy_array_creation Basic functions #array-creation  Array Creation  There are several ways to create arrays. For example, you can create an array from a regular Python list or tuple using the function. The type of the resulting array is deduced from the type of the elements in the sequences. A frequent error consists in calling with multiple arguments, rather than providing a single sequence as an argument. transforms sequences of sequences into two-dimensional arrays, sequences of sequences of sequences into three-dimensional arrays, and so on. The type of the array can also be explicitly specified at creation time: Often, the elements of an array are originally unknown, but its size is known. Hence, NumPy offers several functions to create arrays with initial placeholder content. These minimize the necessity of growing arrays, an expensive operation. The function creates an array full of zeros, the function creates an array full of ones, and the function creates an array whose initial content is random and depends on the state of the memory. By default, the dtype of the created array is . To create sequences of numbers, NumPy provides the function which is analogous to the Python built-in , but returns an array. When is used with floating point arguments, it is generally not possible to predict the number of elements obtained, due to the finite floating point precision. For this reason, it is usually better to use the function that receives as an argument the number of elements that we want, instead of the step: See also array , zeros , zeros_like , ones , ones_like , empty , empty_like , arange , linspace , numpy.random.Generator.rand , numpy.random.Generator.randn , fromfunction , fromfile "
"numpy_basic_operations Basic functions #basic-operations  Basic Operations  Arithmetic operators on arrays apply elementwise . A new array is created and filled with the result. Unlike in many matrix languages, the product operator operates elementwise in NumPy arrays. The matrix product can be performed using the operator (in python >3.5) or the function or method: Some operations, such as and , act in place to modify an existing array rather than create a new one. When operating with arrays of different types, the type of the resulting array corresponds to the more general or precise one (a behavior known as upcasting). Many unary operations, such as computing the sum of all the elements in the array, are implemented as methods of the class. By default, these operations apply to the array as though it were a list of numbers, regardless of its shape. However, by specifying the parameter you can apply an operation along the specified axis of an array: "
"numpy_broadcasting_rules Basic functions #broadcasting-rules  Broadcasting rules  Broadcasting allows universal functions to deal in a meaningful way with inputs that do not have exactly the same shape. The first rule of broadcasting is that if all input arrays do not have the same number of dimensions, a “1” will be repeatedly prepended to the shapes of the smaller arrays until all the arrays have the same number of dimensions. The second rule of broadcasting ensures that arrays with a size of 1 along a particular dimension act as if they had the size of the array with the largest shape along that dimension. The value of the array element is assumed to be the same along that dimension for the “broadcast” array. After application of the broadcasting rules, the sizes of all arrays must match. More details can be found in Broadcasting . Advanced indexing and index tricks  NumPy offers more indexing facilities than regular Python sequences. In addition to indexing by integers and slices, as we saw before, arrays can be indexed by arrays of integers and arrays of booleans. "
"numpy_changing_the_shape_of_an_array Basic functions #changing-the-shape-of-an-array  Changing the shape of an array  An array has a shape given by the number of elements along each axis: The shape of an array can be changed with various commands. Note that the following three commands all return a modified array, but do not change the original array: The order of the elements in the array resulting from ravel() is normally “C-style”, that is, the rightmost index “changes the fastest”, so the element after a[0,0] is a[0,1]. If the array is reshaped to some other shape, again the array is treated as “C-style”. NumPy normally creates arrays stored in this order, so ravel() will usually not need to copy its argument, but if the array was made by taking slices of another array or created with unusual options, it may need to be copied. The functions ravel() and reshape() can also be instructed, using an optional argument, to use FORTRAN-style arrays, in which the leftmost index changes the fastest. The reshape function returns its argument with a modified shape, whereas the ndarray.resize method modifies the array itself: If a dimension is given as -1 in a reshaping operation, the other dimensions are automatically calculated: See also ndarray.shape , reshape , resize , ravel "
"numpy_deep_copy Basic functions #deep-copy  Deep Copy  The method makes a complete copy of the array and its data. Sometimes should be called after slicing if the original array is not required anymore. For example, suppose is a huge intermediate result and the final result only contains a small fraction of , a deep copy should be made when constructing with slicing: If is used instead, is referenced by and will persist in memory even if is executed. "
"numpy_functions_and_methods_overview Basic functions #functions-and-methods-overview  Functions and Methods Overview  Here is a list of some useful NumPy functions and methods names ordered in categories. See Routines for the full list. Array Creation arange , array , copy , empty , empty_like , eye , fromfile , fromfunction , identity , linspace , logspace , mgrid , ogrid , ones , ones_like , r_ , zeros , zeros_like Conversions ndarray.astype , atleast_1d , atleast_2d , atleast_3d , mat Manipulations array_split , column_stack , concatenate , diagonal , dsplit , dstack , hsplit , hstack , ndarray.item , newaxis , ravel , repeat , reshape , resize , squeeze , swapaxes , take , transpose , vsplit , vstack Questions all , any , nonzero , where Ordering argmax , argmin , argsort , max , min , ptp , searchsorted , sort Operations choose , compress , cumprod , cumsum , inner , ndarray.fill , imag , prod , put , putmask , real , sum Basic Statistics cov , mean , std , var Basic Linear Algebra cross , dot , outer , linalg.svd , vdot Less Basic  "
"numpy_histograms Basic functions #histograms  Histograms  The NumPy function applied to an array returns a pair of vectors: the histogram of the array and a vector of the bin edges. Beware: also has a function to build histograms (called , as in Matlab) that differs from the one in NumPy. The main difference is that plots the histogram automatically, while only generates the data. Further reading  The Python tutorial NumPy Reference SciPy Tutorial SciPy Lecture Notes A matlab, R, IDL, NumPy/SciPy dictionary "
"numpy_indexing_slicing_and_iterating Basic functions #indexing-slicing-and-iterating  Indexing, Slicing and Iterating  One-dimensional arrays can be indexed, sliced and iterated over, much like lists and other Python sequences. Multidimensional arrays can have one index per axis. These indices are given in a tuple separated by commas: When fewer indices are provided than the number of axes, the missing indices are considered complete slices The expression within brackets in is treated as an followed by as many instances of as needed to represent the remaining axes. NumPy also allows you to write this using dots as . The dots ( ) represent as many colons as needed to produce a complete indexing tuple. For example, if is an array with 5 axes, then is equivalent to , to and to . Iterating over multidimensional arrays is done with respect to the first axis: However, if one wants to perform an operation on each element in the array, one can use the attribute which is an iterator over all the elements of the array: See also Indexing , Indexing (reference), newaxis , ndenumerate , indices Shape Manipulation  "
"numpy_indexing_with_arrays_of_indices Basic functions #indexing-with-arrays-of-indices  Indexing with Arrays of Indices  When the indexed array is multidimensional, a single array of indices refers to the first dimension of . The following example shows this behavior by converting an image of labels into a color image using a palette. We can also give indexes for more than one dimension. The arrays of indices for each dimension must have the same shape. In Python, is exactly the same as —so we can put and in a and then do the indexing with that. However, we can not do this by putting and into an array, because this array will be interpreted as indexing the first dimension of a. Another common use of indexing with arrays is the search of the maximum value of time-dependent series: You can also use indexing with arrays as a target to assign to: However, when the list of indices contains repetitions, the assignment is done several times, leaving behind the last value: This is reasonable enough, but watch out if you want to use Python’s construct, as it may not do what you expect: Even though 0 occurs twice in the list of indices, the 0th element is only incremented once. This is because Python requires “a+1” to be equivalent to “a  a + 1”. "
"numpy_indexing_with_boolean_arrays Basic functions #indexing-with-boolean-arrays  Indexing with Boolean Arrays  When we index arrays with arrays of (integer) indices we are providing the list of indices to pick. With boolean indices the approach is different; we explicitly choose which items in the array we want and which ones we don’t. The most natural way one can think of for boolean indexing is to use boolean arrays that have the same shape as the original array: This property can be very useful in assignments: You can look at the following example to see how to use boolean indexing to generate an image of the Mandelbrot set : The second way of indexing with booleans is more similar to integer indexing; for each dimension of the array we give a 1D boolean array selecting the slices we want: Note that the length of the 1D boolean array must coincide with the length of the dimension (or axis) you want to slice. In the previous example, has length 3 (the number of rows in ), and (of length 4) is suitable to index the 2nd axis (columns) of . "
